BRAND,DNLA,SKU_NO,SEQNUM,INCLUDES,INCLUDES_RAW,INCLUDED_QTY,LINK_SKU
Impact,N,283646,1,"Surfaces: Silver-Gold, silver mylar, white, gold and translucent","Surfaces: <br>Silver-Gold, silver mylar, white, gold and translucent",5,
Impact,N,283646,2,"Tear resistant, nylon carrying pouch","Tear resistant, nylon carrying pouch",1,
Impact,N,283646,3,1 Year Manufacturer's Warranty,1 Year Manufacturer's Warranty,1,
Impact,N,283648,1,"5 surfaces: Silver-Gold, silver mylar, white, gold and translucent","5 surfaces: Silver-Gold, silver mylar, white, gold and translucent",1,
Impact,N,283648,2,"Tear resistant, nylon carrying pouch","Tear resistant, nylon carrying pouch",1,
Impact,N,283648,3,1 Year Manufacturer's Warranty,1 Year  Manufacturer's Warranty,1,
Impact,N,298508,1,One-Year Manufacturer's Warranty,One-Year Manufacturer's Warranty,1,
Impact,N,298511,1,One-Year Manufacturer's Warranty,One-Year Manufacturer's Warranty,1,
Impact,N,298514,1,One-Year Manufacturer's Warranty,One-Year Manufacturer's Warranty,1,
Impact,N,298570,1,1-Year Warranty,1-Year Warranty,1,
Impact,N,298573,1,1-Year Warranty,1-Year Warranty,1,
Impact,N,298574,1,1-Year Warranty,1-Year Warranty,1,
Impact,N,298604,1,"Floodlight Reflector - 12""","Floodlight Reflector - 12""",2,298574
Impact,N,298604,2,Porcelain Socket with Adjustable Umbrella Mount (500W),Porcelain Socket with Adjustable Umbrella Mount (500W),2,760136
Impact,N,298604,3,"Floodlight Reflector - 5""","Floodlight Reflector - 5""",1,298570
Impact,N,298604,4,Porcelain Socket with Adjustable Umbrella Mount (500W),Porcelain Socket with Adjustable Umbrella Mount (500W),1,760136
Impact,N,298604,5,"Air-cushioned Light Stand (Black, 8')","Air-cushioned Light Stand (Black, 8')",3,253074
Impact,N,298604,6,"White Translucent Umbrella (43"")","White Translucent Umbrella (43"")",2,362386
Impact,N,298604,7,"Mini Boom Arm - 5' 3""","Mini Boom Arm - 5' 3""",1,397671
Impact,N,298604,8,"Light Kit Bag #2 (34 x 13.5 x 12"")","Light Kit Bag #2 (34 x 13.5 x 12"")",1,766494
Impact,N,298604,9,One-Year Manufacturer's Warranty,One-Year Manufacturer's Warranty,1,
Impact,N,298709,1,"Reversible Male Stud with 1/4""-20 & 3/8"" Screw Thread","Reversible Male Stud with 1/4""-20 & 3/8"" Screw Thread",1,
Impact,N,298709,2,"Reversible Female Stud with 1/4""-20 & 3/8"" Female Thread","Reversible Female Stud with 1/4""-20 & 3/8"" Female Thread",1,
Impact,N,298709,3,Shoe Mount,Shoe Mount,1,
Impact,N,298709,4,1-Year Warranty,1-Year Warranty,1,
Impact,N,299964,1,Set of 5 Casters,Set of 5 Casters,1,
